Date,Bridge,Speed,Type,Test Run,FileName,DirectionTraveled,LaneTraveled,Notes
25-Jul-19,Ponca,0,Concrete,1,PoncaConcreteBridge_R1_07_25_2019_09_55_40,North,East,
25-Jul-19,Ponca,0,Concrete,2,PoncaConcreteBridge_R2_07_25_2019_09_59_44,South,West,
25-Jul-19,Ponca,0,Concrete,3,PoncaConcreteBridge_R3_07_25_2019_10_04_03,North,East,
25-Jul-19,Ponca,0,Concrete,4,PoncaConcreteBridge_R4_07_25_2019_10_07_53,South,West,An SUV crossed the east lane towards South
25-Jul-19,Ponca,0,Concrete,5,PoncaConcreteBridge_R5_07_25_2019_10_11_35,North,Middle,
25-Jul-19,Ponca,0,Concrete,6,PoncaConcreteBridge_R7_07_25_2019_10_17_37,North,Middle,
25-Jul-19,Ponca,5,Concrete,1,PoncaConcreteBridge_R8_07_25_2019_10_22_31,South,West,
25-Jul-19,Ponca,5,Concrete,2,PoncaConcreteBridge_R9_07_25_2019_10_26_07,North,East,
25-Jul-19,Ponca,5,Concrete,3,PoncaConcreteBridge_R10_07_25_2019_10_27_34,South,West,
25-Jul-19,Ponca,5,Concrete,4,PoncaConcreteBridge_R11_07_25_2019_10_28_44,North,East,
25-Jul-19,Ponca,5,Concrete,5,PoncaConcreteBridge_R12_07_25_2019_10_30_07,South,West,
25-Jul-19,Ponca,5,Concrete,6,PoncaConcreteBridge_R13_07_25_2019_10_31_26,North,East,
25-Jul-19,Ponca,15,Concrete,1,PoncaConcreteBridge_R17_07_25_2019_10_38_21,North,East,
25-Jul-19,Ponca,15,Concrete,2,PoncaConcreteBridge_R18_07_25_2019_10_39_19,South,West,
25-Jul-19,Ponca,15,Concrete,3,PoncaConcreteBridge_R19_07_25_2019_10_40_29,North,East,
25-Jul-19,Ponca,15,Concrete,4,PoncaConcreteBridge_R20_07_25_2019_10_41_44,South,West,
25-Jul-19,Ponca,15,Concrete,5,PoncaConcreteBridge_R21_07_25_2019_10_42_33,North,East,
25-Jul-19,Ponca,15,Concrete,6,PoncaConcreteBridge_R22_07_25_2019_10_43_24,South,West,
25-Jul-19,Ponca,30,Concrete,1,PoncaConcreteBridge_R23_07_25_2019_10_45_51,North,East,
25-Jul-19,Ponca,30,Concrete,2,PoncaConcreteBridge_R24_07_25_2019_10_48_55,South,West,
25-Jul-19,Ponca,30,Concrete,3,PoncaConcreteBridge_R25_07_25_2019_10_50_29,North,East,
25-Jul-19,Ponca,30,Concrete,4,PoncaConcreteBridge_R26_07_25_2019_10_51_57,South,West,
25-Jul-19,Ponca,30,Concrete,5,PoncaConcreteBridge_R27_07_25_2019_10_53_32,North,East,
25-Jul-19,Ponca,30,Concrete,6,PoncaConcreteBridge_R28_07_25_2019_10_54_57,South,West,
25-Jul-19,Ponca,30,Concrete,7,PoncaConcreteBridge_R29_07_25_2019_10_57_59,North,Middle,
25-Jul-19,Ponca,30,Concrete,8,PoncaConcreteBridge_R30_07_25_2019_10_59_26,South,Middle,
25-Jul-19,Ponca,30,Concrete,9,PoncaConcreteBridge_R31_07_25_2019_11_01_01,North,Middle,
25-Jul-19,Ponca,30,Concrete,10,PoncaConcreteBridge_R32_07_25_2019_11_02_44,South,Middle,
25-Jul-19,Ponca,45,Concrete,1,PoncaConcreteBridge_R33_07_25_2019_11_06_17,North,East,
25-Jul-19,Ponca,45,Concrete,2,PoncaConcreteBridge_R34_07_25_2019_11_08_56,South,West,Speed 41~42
25-Jul-19,Ponca,45,Concrete,3,PoncaConcreteBridge_R35_07_25_2019_11_10_14,North,East,
25-Jul-19,Ponca,45,Concrete,4,PoncaConcreteBridge_R36_07_25_2019_11_12_43,South,West,Speed 41~42
25-Jul-19,Ponca,45,Concrete,5,PoncaConcreteBridge_R37_07_25_2019_11_14_01,North,East,
25-Jul-19,Ponca,45,Concrete,6,PoncaConcreteBridge_R38_07_25_2019_11_16_46,South,West,Speed 41~42
25-Jul-19,Waterloo,0,Steel,1,WaterLoo steelBridge_R1_07_25_2019_14_00_33,South,West,
25-Jul-19,Waterloo,0,Steel,2,WaterLoo steelBridge_R2_07_25_2019_14_04_51,North,East,
25-Jul-19,Waterloo,0,Steel,3,WaterLoo steelBridge_R3_07_25_2019_14_08_45,South,West,
25-Jul-19,Waterloo,0,Steel,4,WaterLoo steelBridge_R4_07_25_2019_14_12_46,North,East,
25-Jul-19,Waterloo,0,Steel,5,WaterLoo steelBridge_R5_07_25_2019_14_17_01,South,Middle,
25-Jul-19,Waterloo,0,Steel,6,WaterLoo steelBridge_R6_07_25_2019_14_22_42,South,Middle,
25-Jul-19,Waterloo,5,Steel,1,WaterLoo steelBridge_R7_07_25_2019_14_27_44,North,East,
25-Jul-19,Waterloo,5,Steel,2,WaterLoo steelBridge_R8_07_25_2019_14_29_11,South,West,
25-Jul-19,Waterloo,5,Steel,3,WaterLoo steelBridge_R9_07_25_2019_14_30_52,North,East,
