Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A
0.01,-6.58646E-05,-0.000142058,0.006109747,0.003279591,-0.041598927,-0.000812415,-0.014387651,-0.003207814,-0.000175296,-0.000118126,-0.078218416,0.006507582,0.038228566,-0.008024492,-0.021201563,-0.036012606,-0.131948689,-0.021906496,-0.034549728,-0.120054347,-0.02760082,0.00591637,-0.029910022,-0.041695398,-0.075652727,0.006545904,0.001620693,0.012898452,-0.020149202,-0.001983587,-0.001849302,-0.000945692,0.021220666,0.000917158,-0.006755101,-0.054456405,-0.011185974,-0.019325781,-0.077437131,0.015878605
0.02,-0.000101887,-0.000123153,0.010931525,0.014372731,-0.020915638,0.055339929,-0.018171831,0.004116405,-0.000126083,-2.94307E-05,-0.063737826,-0.001945787,0.033376271,0.01765605,0.007607031,-0.018617586,-0.093038777,0.00497949,-0.095764175,-0.125127894,-0.042752797,0.064512027,-0.042635852,-0.064461512,-0.056808122,0.054199102,-0.011532383,0.010518081,-0.063560457,-0.001974588,-0.001844051,-0.000950195,0.019938928,0.012929401,-0.012828099,0.004183121,0.002226502,0.077781153,-0.071325986,0.022050785
0.03,-8.10321E-05,-6.64399E-05,0.004896674,0.002043629,-0.023349415,0.080852624,-0.044172807,0.015102733,0.000104842,5.36032E-05,-0.049272494,0.012550063,0.0260902,0.016374311,-0.015220118,-0.021120028,-0.084280232,-0.008448244,-0.054138198,-0.131460292,-0.02381664,0.044980777,-0.069491321,-0.041695398,-0.004058488,0.044418218,-0.014187412,0.033284195,-0.04247281,-0.001967838,-0.001844051,-0.000944191,0.016093713,-0.012296476,-0.005564915,-0.021466903,0.008330018,0.071555567,-0.038328855,0.001073764
0.04,7.8225E-05,-1.72882E-05,0.036245856,-0.001664256,-0.059856068,0.077068444,-0.064070268,0.005337108,0.000205163,6.49262E-05,-0.078218416,0.021011061,-0.005457347,-0.008024492,-0.036796046,-0.017396883,-0.084280232,-0.054163576,-0.011287704,-0.126386744,0.038042491,-0.036809193,-0.045199329,-0.016548914,-0.015349992,0.00167835,0.021396084,0.015339859,-0.025108309,-0.001976087,-0.00184255,-0.000935935,0.000804406,-0.001485386,-0.003123509,-0.015348129,-0.017289489,0.00435586,0.004441531,-0.001398159
0.05,0.000104768,0.000118824,0.024183783,-0.013993358,-0.027003895,0.052776452,-0.055281206,0.033352245,0.000108629,6.68135E-05,-0.058916048,0.02342195,-0.001810496,-0.017027178,-0.009208155,-0.024843172,-0.090505818,-0.013819338,-0.021083846,-0.122587306,0.053194468,-0.03314613,-0.019686633,-0.02491073,-0.025405534,-0.021545527,0.041171474,0.008076675,-0.000301332,-0.001982837,-0.0018418,-0.000938937,0.012279015,-0.002686539,-0.006755101,0.044496842,-0.041657775,0.00435586,0.025216372,0.017118381
0.06,3.08263E-05,0.000207675,-0.044541803,-0.007828807,-0.008746754,0.042583581,-0.033064409,0.029720653,-1.25136E-05,0.00010833,-0.019121126,0.001678176,0.001821096,-0.017027178,-0.000815821,-0.034791903,-0.098074178,0.038579344,0.010747895,-0.160596949,-0.001096303,-0.01117252,0.0020724,-0.010567469,-0.017867693,-0.00688183,0.002963466,0.050129898,0.041873961,-0.001976087,-0.001835048,-0.000953948,0.025035363,-0.012296476,-0.009196507,0.03595192,-0.039216369,0.025474024,-0.016333311,-0.017431332
0.07,0.000136998,0.000109372,-0.048158136,-0.001664256,-0.051341664,0.061687585,-0.018171831,-0.027560841,-1.15707E-06,0.000127202,-0.027559237,-0.026115709,0.001821096,-0.019590654,-0.027213526,-0.016115145,-0.095571736,0.038579344,0.019317612,-0.18213473,-0.035184438,-0.022159802,0.021206921,-0.002144617,-0.006576189,0.021224859,-0.010220127,0.032063491,0.022026091,-0.001975338,-0.001831297,-0.000962204,0.011027795,-0.038723984,-0.017649876,0.016405411,-0.019715637,0.018027735,-0.039557188,-0.053220822
0.08,0.000157853,-5.69877E-05,0.013342413,-0.031266307,-0.030650746,0.079631921,-0.030500932,-0.030002247,1.7773E-05,8.37971E-05,-0.008256869,-0.005569749,-0.000605052,-0.04144124,-0.020011378,-0.018617586,-0.084280232,0.03320825,-0.032100692,-0.120054347,-0.025067861,-0.03558849,0.016110486,-0.02491073,0.042419783,0.037094,0.013492031,-0.01352977,0.007141142,-0.001981337,-0.001833548,-0.000954698,0.004619103,-0.045931377,-0.023661839,0.012743302,0.005873353,0.031760645,-0.031004636,-0.026075436
0.09,3.08263E-05,-0.000119372,0.015753302,-0.036210155,-0.00023235,0.074504968,-0.019392534,0.005337108,-5.98341E-05,-1.24467E-05,0.030332609,0.035506911,-0.015169566,-0.018324175,-0.017600489,-0.048463778,-0.081777791,0.013036131,-0.039447799,-0.079519374,-0.032651479,-0.041691052,-0.003085071,-0.009346765,0.06753575,0.005325201,0.024020595,0.017659195,0.039390593,-0.001970838,-0.001826796,-0.000945692,0.030131799,-0.015900173,-0.034556615,0.002962418,0.032698304,0.052878809,0.001992495,0.008478092
0.1,-2.9842E-05,-4.94259E-05,-0.007165399,-0.032502269,-0.013614308,0.078289148,0.004167037,0.010219921,-9.01189E-05,-0.000120013,0.001401945,0.017387099,-0.018801158,-0.001600542,-0.063193751,-0.038515047,-0.119405965,0.009007811,-0.014963165,-0.122587306,-0.008664663,-0.01361488,-0.022219592,-0.012886804,0.016037337,-0.037414667,0.031924648,0.023701675,0.03691104,-0.001963339,-0.001820794,-0.000935935,0.050548058,-0.026711741,-0.02125095,0.034731217,0.003447205,0.014304591,0.041100771,0.035623478
0.11,-6.58646E-05,-4.5645E-05,0.037458929,-0.037430858,-0.002666127,0.092327234,-0.011946245,0.022396434,-0.000122296,-0.000131336,-0.016694979,-0.022484117,-0.018801158,-0.036299028,-0.041587305,-0.011171297,-0.149526814,0.015752195,-0.035774246,-0.13525973,0.012804454,0.004697574,-0.001772815,-0.038094324,0.009765974,-0.02276623,0.033267422,-0.006327622,-0.023868532,-0.001973838,-0.001819293,-0.000938937,0.021220666,-0.026711741,0.011372341,0.04817421,-0.044099182,-0.014320898,0.000779421,0.031923221
0.12,-9.80949E-05,-7.02208E-05,0.043478522,-0.022629832,0.000988353,0.092327234,0.009171919,0.039455761,-0.000175296,-0.000118126,0.009824796,-0.012825303,-0.013948863,0.01765605,0.034004736,-0.008668856,-0.116873006,-0.017847658,-0.022306457,-0.116254908,-0.025067861,0.001034511,0.013547009,-0.014107508,0.024841658,0.002899053,0.018771572,0.036885269,-0.067279787,-0.001974588,-0.001828296,-0.000954698,-0.023396033,0.010527096,-0.012828099,-0.009259872,-0.014832824,0.02175088,-0.037108152,-0.031011654
0.13,-8.10321E-05,-8.3454E-05,0.007307562,-0.030045604,-0.045253407,0.093670007,0.047624068,0.026058544,-0.000194226,-0.000152095,-0.001024203,-0.000732713,-0.018801158,0.08191081,0.001595068,-0.044740633,-0.103079061,-0.042048098,0.030336365,-0.125127894,-0.070523793,0.009579433,0.0020724,-0.000923914,-0.01411403,0.022445562,-0.002316075,0.05489064,-0.04247281,-0.001968588,-0.001835798,-0.000952447,-0.024677772,-0.003888168,-0.043040501,-0.023908309,0.029036194,0.046653223,-0.000448911,-0.049516751
0.14,-5.63856E-05,-0.000196881,0.024183783,-0.032502269,-0.075679432,0.079631921,0.010392623,0.006557811,-0.00020369,-0.000101142,-0.025148348,-0.026115709,-0.023661082,0.038224897,-0.059592677,-0.07086368,-0.116873006,-0.033991457,0.00952147,-0.104856593,-0.08820873,0.009579433,0.01479823,-0.016548914,0.012268416,0.021224859,-0.00362833,0.023701675,-0.005260439,-0.001971588,-0.001822294,-0.000941939,0.011027795,-0.015900173,-0.018840062,0.024950333,0.020506531,0.034202052,0.015443118,0.015878605
0.15,-1.27792E-05,-9.66871E-05,0.007307562,0.003279591,-0.041598927,0.063030359,-0.023054643,0.022396434,-3.52267E-05,5.73778E-05,-0.027559237,-0.028526597,0.00668102,-0.001600542,-0.015220118,-0.028566317,-0.095571736,-0.00307715,-0.039447799,-0.090917689,-0.021283681,-0.020939099,0.004574841,-0.027291101,0.023575179,-0.008102533,-0.004940586,0.033284195,-0.036273927,-0.001969338,-0.001827546,-0.000944941,0.031413537,0.005722008,-0.015238988,0.049394913,-0.000214904,0.019248438,-0.009001463,0.050435947
0.16,0.000146477,0.000166085,-0.025254694,0.020552541,-0.04281963,0.080852624,-0.034285112,0.035824169,0.000159734,0.000189478,-0.032381014,-0.021278673,0.047940786,-0.004179277,0.014809179,0.002500578,-0.090505818,0.022466063,-0.032100692,-0.118795497,0.046892588,-0.034366833,-0.029910022,-0.036873621,-0.074401506,-0.014206049,-0.019436436,0.004475601,-0.067279787,-0.001973838,-0.001839549,-0.000948694,-0.000446815,0.017734489,-0.029734837,0.050615616,-0.01362738,0.00435586,0.010552676,0.00724213
0.17,0.000203355,0.000200113,0.007307562,-0.018937206,-0.072024952,0.082134362,-0.070295854,0.018734325,0.000159734,0.000202687,-0.039628939,-0.058739,0.021245534,-0.017027178,-0.010428858,0.006223722,-0.106832723,-0.005762697,-0.022306457,-0.113721949,0.025423472,-0.006290661,-0.035006458,-0.026131433,-0.095748552,-0.009323237,-0.012844639,-0.036295884,-0.01394269,-0.001991836,-0.001828296,-0.000947943,-0.020863074,0.035752973,-0.015238988,0.027406998,-0.023362487,0.013083887,0.054543765,-0.024839474
0.18,3.841E-05,0.000103701,0.033834967,-0.020157909,-0.027003895,0.09110653,-0.064070268,0.015102733,0.000201378,0.000125315,-0.06494327,-0.039406114,-0.028513377,-0.026014605,0.000404882,0.047300382,-0.096792439,-0.017847658,-0.040670409,-0.095983607,0.017839854,-0.009951817,-0.024783069,0.005057531,-0.032943376,-0.01054394,-0.007565098,0.005696304,0.003421812,-0.001989587,-0.001823044,-0.000953197,0.005931359,-0.003888168,-0.001933324,0.004183121,-0.031907409,0.034202052,0.030106814,-0.00756271
0.19,4.97861E-05,1.86303E-05,0.01212934,0.040297414,-0.014835011,0.115337487,-0.026838823,0.016323436,0.000258162,0.000130976,-0.075792269,0.045165724,-0.009096568,0.00354167,0.005196142,0.046018644,-0.091787557,0.013036131,-0.043119445,-0.097250087,0.016588633,-0.045353161,0.010983533,0.014640051,-0.00907863,0.00167835,-0.026028233,0.012898452,-0.041233034,-0.001971588,-0.001830547,-0.000959952,0.046733361,-0.066352644,0.011372341,0.032289811,-0.019715637,0.019248438,-0.009001463,-0.001398159
0.2,0.000163541,2.61921E-05,-0.025254694,0.000807668,-0.058635365,0.089824792,-0.047956987,0.006557811,0.000108629,0.000149847,-0.051683382,0.018600173,-0.001810496,0.021531782,-0.002006007,-0.017396883,-0.109365682,0.006352781,-0.019861236,-0.08839236,-0.01751476,-0.03314613,0.012295788,0.001456457,0.003479353,0.007766607,0.009555263,-0.020731919,-0.004020662,-0.001968588,-0.001838049,-0.000960703,0.06074093,-0.014699259,0.010151637,0.054277726,0.020506531,-0.00559287,-0.010222166,-0.006330563
0.21,8.96002E-05,6.02201E-05,-0.026452509,-0.043610667,-0.034297596,0.075725671,-0.085066362,0.008999218,-5.79398E-05,-3.13181E-05,-0.03117557,-0.056312852,-0.039431041,-0.014448443,0.000404882,-0.049745516,-0.130666951,0.006352781,0.005849824,-0.103590114,-0.01751476,-0.002627598,-0.011996204,-0.000923914,0.03111302,-0.004425165,0.038516445,-0.008707993,0.031951933,-0.001967088,-0.001829046,-0.000954698,0.041606408,0.008124552,-0.04545139,0.027406998,0.025389344,-0.001930761,-0.035887449,-0.002630307
0.22,4.03062E-05,-5.69877E-05,0.015753302,0.039061452,-0.017268788,0.106365319,-0.042952104,0.026058544,-0.000126083,-0.000163417,0.006208463,-0.03215056,-0.017595713,-0.029875078,-0.033194971,-0.023561434,-0.140707234,0.017064451,0.011970505,-0.116254908,-0.016248281,-0.01117252,0.044217175,0.03380509,0.038650862,0.010208013,-0.055019932,-0.005106919,-0.018909425,-0.001964089,-0.001820044,-0.000953197,0.033977014,-0.021906653,-0.063578831,-0.001920394,0.001005799,0.030478907,-0.031004636,0.01341431
0.23,5.54737E-05,-0.000111811,0.036245856,0.039061452,-0.050120961,0.101299401,0.006730513,0.027248729,-0.000279403,-0.000172853,0.037565275,-0.009193712,0.063710744,0.008668623,-0.023612452,0.02490048,-0.138174275,-0.023218752,-0.014963165,-0.123861415,-0.025067861,-0.025821911,0.074856824,0.060172278,0.004745833,0.022445562,-0.069515782,-0.003886216,-0.025108309,-0.001972338,-0.001832047,-0.000956199,-0.001728553,0.033350429,0.011372341,-0.028791122,-0.008744567,0.00435586,0.009331973,0.023282932
0.24,-2.60505E-05,-9.72638E-06,0.037458929,-0.036210155,-0.033084523,0.082134362,-0.028059526,0.010219921,-0.000313474,-0.000203047,0.009824796,-0.058739,0.060071523,0.004808149,0.015999364,0.034849211,-0.152029256,-0.042048098,-0.039447799,-0.150465114,-0.002347524,-0.016056286,0.041623181,0.031424719,-0.005309709,-0.003204462,0.059604091,0.012898452,-0.004020662,-0.001980587,-0.00184105,-0.000954698,-0.02595951,0.042960367,0.016194118,-0.022687606,-0.006303161,-0.061623144,-0.007780759,-0.00756271
0.25,-7.53445E-05,-1.16169E-05,0.019362006,-0.002884959,0.002201427,0.111492273,-0.095076127,0.005337108,-7.87623E-05,-0.000180402,-0.00584598,-0.056312852,-0.044290965,-0.023451128,-0.008017969,0.001279875,-0.140707234,0.014409422,-0.001495376,-0.133993251,0.012804454,-0.018496739,0.032712048,0.026602942,0.027344099,0.027328375,0.041171474,0.02968312,-0.017665834,-0.001973088,-0.001835048,-0.000950946,0.012279015,-0.018302956,-0.027293431,-0.009259872,0.008330018,-0.060402441,-0.031004636,-0.010034634
0.26,-1.40402E-06,-7.40017E-05,-0.019219843,0.048933888,0.03870808,0.096172448,-0.095076127,0.012630809,8.21292E-05,-8.79318E-05,0.0110455,-0.003158861,-0.051569407,-0.006758013,-0.015220118,-0.009950594,-0.072958211,0.049352049,0.042579636,-0.094724757,0.007753794,-0.03558849,0.012295788,0.036185461,0.008499495,0.034637335,-0.065548496,0.024861343,0.022026091,-0.001965588,-0.001826796,-0.000950195,0.012279015,-0.007491865,0.027088893,-0.042234115,0.018080384,-0.031715917,0.015443118,0.018350528
0.27,5.35775E-05,-4.1864E-05,-0.014398065,0.006972218,0.053310741,0.064251062,-0.024397417,0.006557811,9.9165E-05,8.75718E-05,0.031538053,-0.021278673,0.033376271,-0.000334063,0.022011327,-0.016115145,-0.067953328,0.018437742,0.011970505,-0.075719935,0.012804454,-0.019718396,0.012295788,0.008658606,-0.034209856,-0.042312739,-0.051052647,-0.038676255,0.061718016,-0.001973088,-0.001829796,-0.000953197,0.002086144,0.003319225,0.02586819,-0.016584091,-0.003877014,0.008079005,0.043542178,-0.012498928
