Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A,IW4-0631-0-CHAN-1,IW4-0631-0-CHAN-2,IW4-0631-0-CHAN-3,IW4-0631-0-CHAN-4
0.01,-4.5151E-05,-5.98642E-05,0.016197939,0.006671482,0.013080851,-0.050184462,0.080881076,-0.004901349,-5.03198E-05,-5.4028E-05,0.027608123,0.020518833,0.06288074,-0.025854223,0.074696934,0.023459042,-0.130090826,0.053741904,-0.074914694,-0.081999835,0.052416521,-1.261030057,0.053858589,0.052288729,0.056678211,0.039914075,0.007574867,0.070163951,0.041728611,-0.001978337,-0.001817793,-0.000953948,0.025935454,0.040374181,0.064002991,0.000759461,0.037400638,0.056146958,-0.033535116,0.00800259,-0.002778744,-0.003357544,-0.003495285,-0.003066081
0.02,-3.75672E-05,3.65487E-05,0.006554385,-0.013073391,-0.013690694,-0.024610731,0.042428928,-0.015887677,-7.68197E-05,-0.000165369,0.075856414,0.056750827,0.033759342,0.012704737,0.014729893,0.040854061,-0.091150396,0.044311972,-0.005132437,-0.085799273,0.010760027,-1.215863088,0.051295112,0.034344393,0.039084827,0.046002332,-0.001671959,0.0617411,0.049171086,-0.001971588,-0.001813292,-0.000959202,0.010646147,-0.00527344,0.055580139,0.015415528,0.030106937,0.090998033,-0.015201681,0.045024227,-0.002780243,-0.003344045,-0.003505779,-0.003060831
0.03,-2.99834E-05,5.9234E-05,0.007767458,0.000491672,0.013080851,-0.025953505,0.05109592,-0.00123924,1.21421E-05,-0.000161594,0.090337004,0.094211155,0.027686343,0.007562525,-0.004496182,-0.000161564,-0.066095464,0.0268254,-0.014924765,-0.045256671,0.020861345,-1.181682446,0.034663032,0.089459139,0.062934315,0.013028089,0.036536048,0.047336803,0.023124333,-0.001958839,-0.001816292,-0.000946442,0.038691801,0.016349217,0.045875549,0.041065553,0.058137333,0.088495591,-0.01887142,0.084506343,-0.00278399,-0.003343295,-0.00350428,-0.00305558
0.04,-6.03176E-05,2.70964E-05,-0.001876096,0.014056736,0.03376414,-0.023390028,0.056100803,-0.007342755,0.000116249,0.000132799,0.093953337,0.079707676,0.020407901,-0.006582372,0.06151334,0.008505429,-0.113763921,0.034882041,-0.055326223,-0.078200396,0.047365862,-1.232952931,0.033411811,0.093121248,0.071753895,0.017910901,0.024695228,0.062961803,0.030566807,-0.001963339,-0.001835798,-0.000945692,-0.011051851,0.007940671,0.055580139,0.033733705,0.073975956,0.052423814,-0.004207723,0.065997432,-0.00278324,-0.003359794,-0.003484041,-0.003063081
0.05,-8.11727E-05,3.27678E-05,-0.016356687,0.004199558,0.004558818,-0.034864638,0.047433811,-0.018329083,6.51418E-05,0.000179977,0.109624114,0.049510532,0.010703311,0.060235865,0.059102451,0.027182186,-0.111230962,0.033569785,-0.011253119,-0.076926287,0.041063982,-1.258588651,0.057673286,0.103863436,0.062934315,0.033810559,-0.039879967,0.035312877,0.046691533,-0.001967088,-0.001835798,-0.000958451,-0.018711763,-0.00527344,0.053138733,0.021526673,0.058137333,0.089777329,0.006793864,0.038852047,-0.002789235,-0.003367293,-0.00348629,-0.003062331
0.06,1.93105E-05,8.75908E-05,-0.029616575,0.02887302,-0.024638875,-0.061659071,0.058542209,-0.021960675,3.48552E-05,-3.13824E-05,0.106007781,0.01085239,0.020407901,0.058954127,0.006307041,-0.001382267,-0.08114063,0.051025839,0.027923822,-0.035124835,0.033480364,-1.217083791,0.065333198,0.099041658,0.08806554,0.017910901,-0.043847252,0.023349986,-0.002926235,-0.001963339,-0.001818543,-0.000956199,0.055262846,0.057191274,0.041053772,0.042293885,0.037400638,0.102228501,0.011684306,0.035147975,-0.002798228,-0.003368043,-0.003502781,-0.00305333
0.07,6.67083E-05,4.6001E-05,-0.010329466,0.044910007,-0.024638875,-0.028455946,0.044992405,-0.035357892,9.54266E-05,-7.10121E-05,0.078267302,0.020518833,0.025260196,-0.00144016,0.01588956,-0.020059025,-0.101190679,0.053741904,0.000990152,-0.061728534,0.005709368,-1.207317212,0.034663032,0.069134432,0.093085682,0.038693372,-0.017480065,0.054538951,0.010718937,-0.001959589,-0.001817043,-0.000946442,0.031031889,0.053587815,0.045875549,0.042293885,0.039857303,0.011347154,0.031230814,0.068469356,-0.00279598,-0.003362793,-0.003497534,-0.00305108
0.08,-6.03176E-05,4.03296E-05,-0.000678281,0.010364109,-0.006389364,-0.011854384,0.063547092,-0.015887677,2.9176E-05,-3.32693E-05,0.085499968,0.056750827,0.014342532,0.042245753,0.03630582,0.017233456,-0.118768804,0.021454306,-0.030841589,-0.06933504,0.004442888,-1.2207459,0.055109809,0.096661287,0.070487415,0.047223035,-0.024071862,0.034153209,0.054134007,-0.001958089,-0.001817043,-0.000947193,-0.012303072,-0.016084292,0.01688385,0.014194825,0.061784183,0.04125438,0.039790995,0.091910671,-0.00278324,-0.003358294,-0.003493786,-0.003061581
0.09,-7.54851E-05,0.000131071,-0.018775205,0.006671482,-0.000308736,-0.038648817,0.103219944,-0.00123924,-4.08576E-05,-3.89313E-05,0.107213225,0.04588657,0.004630313,0.064096339,-0.000895107,0.040854061,-0.101190679,0.005341025,-0.027168036,-0.06933504,0.038531023,-1.223187306,0.089594673,0.108685213,0.070487415,0.021573011,-0.008263756,0.007724986,0.045451756,-0.001956589,-0.001822294,-0.000956199,0.006800932,-0.008876899,-0.007286072,0.015415528,0.071549808,0.134577134,0.028789408,0.051188777,-0.002774247,-0.003369543,-0.003487039,-0.003075831
0.1,0.000100835,5.73437E-05,-0.010329466,0.017764621,0.022815959,-0.034864638,0.059884983,-0.014636457,-1.62502E-05,1.20218E-05,0.097569671,0.078509861,0.017981754,0.007562525,-0.029703701,0.030905331,-0.073602789,0.012054892,-0.016149282,-0.079466876,0.043581682,-1.226849416,0.051295112,0.085858065,0.051658069,0.024029676,0.02731974,0.053318248,0.045451756,-0.001965588,-0.001838049,-0.000958451,0.018275541,0.022355458,0.028968811,0.032520631,0.05691663,0.087274888,0.030010111,-0.000633885,-0.002781741,-0.003367293,-0.003481043,-0.003068331
0.11,0.000123585,-2.9617E-05,0.012589236,0.019000583,0.038631694,-0.036146376,0.034982639,-0.00123924,-5.60009E-05,-1.06237E-05,0.064992156,0.124423557,0.053168521,0.024270899,0.003896152,0.027182186,-0.046014898,0.03085372,-0.008804083,-0.051589068,0.060000139,-1.221966603,0.042322944,0.077496248,0.052894031,0.009381238,0.003607582,0.088108287,0.042972203,-0.001971588,-0.001832047,-0.000950195,0.050166411,0.025959394,0.03742218,0.028858521,0.026444828,0.042475083,0.015346415,0.011706661,-0.002792233,-0.003347044,-0.003496034,-0.00305333
0.12,-1.10245E-05,3.08774E-05,0.017411013,0.043689304,0.006992594,-0.04377577,0.065988498,-0.007342755,-6.16801E-05,-0.000129514,0.075856414,0.101466709,0.03617786,0.071802027,0.030293857,0.039633358,-0.069849126,0.033569785,0.024250269,-0.037665423,0.081469255,-1.210979321,0.085779975,0.066693025,0.066718494,0.006939832,-0.041192223,0.043796764,0.035529728,-0.001958839,-0.001814042,-0.000941939,0.059077543,0.024757764,0.026557922,0.011753419,0.017899906,0.035028794,-0.017643087,0.038852047,-0.002789985,-0.003347044,-0.003496784,-0.00305183
0.13,-3.37749E-05,3.65487E-05,0.00535657,0.036273532,-0.006389364,-0.019544813,0.037424045,-0.047564923,-3.70708E-05,-3.7044E-05,0.144597258,0.101466709,-0.014786496,0.075662501,0.003896152,0.070700253,-0.11629688,0.024170371,0.043840647,-0.043997821,0.056215959,-1.193889478,0.083216499,0.071514803,0.037818348,0.044781629,-0.017480065,0.018528209,0.038009282,-0.001958839,-0.001832047,-0.000947943,0.029750151,0.025959394,0.057991028,0.011753419,0.039857303,-0.003545425,-0.002979391,0.022811245,-0.002784739,-0.003353044,-0.00348629,-0.00305258
