Root Name,Title,Author,Date/Time,Groups,Description,ActualStartTime,DATAFILENAME,DATAFILEPATH,LOCATION,PROJECTNAME,PROJECTSTARTDATE,SampleRate_s_s_,TDMS_FileType,TestDuration_s_,,,,
PonkaConcreteBridge_R11_07_25_2019_10_28_44,PonkaConcretBridge,Dr Linzell Team,,1,Short description of what the test is all about.,07/25/2019 10:28:46.536 AM,C:\STS_UserData\Data\July_2019\25\PonkaConcreteBridge_R11_07_25_2019_10_28_44.tdms,C:\STS_UserData\Data,Ponak Omaha,PonkaConcreteBridge,9:43:14.942 AM7/25/2019,100,LiveloadData,1200,,,,
,,,,,,,,,,,,,,,,,,
Group,Channels,Description,GroupName,SampleRate_s_s_,,,,,,,,,,,,,,
Sensors_Started @ 10:28:44.837,33,,Sensors,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sensors_Started @ 10:28:44.837,,,,,,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ArrayColumn,Attributes,CalFactor,CalOffset,ExcitationMode,Gain,Location,Offset,RatioMetric_,SensorName,Type,Start Index
Time,DT_DOUBLE,s,3409,,,,0,,,,,,,,,,,
B7030_18A,DT_DOUBLE,ue,3409,-0.352493,12.728867,,0,{NULL},103720,0,ExcitationOn,64,"P-0463,0,CHAN-1",-134.518539,Not RatioMetric,B7030_18A,Strain,
B4520_18A,DT_DOUBLE,ue,3409,-0.333069,17.122559,,0,{NULL},107760,0,ExcitationOn,64,"P-0463,0,CHAN-2",-582.830627,Not RatioMetric,B4520_18A,Strain,
B7037_18A,DT_DOUBLE,ue,3409,-0.298016,14.934505,,0,{NULL},103460,0,ExcitationOn,64,"P-0463,0,CHAN-3",2.119935,Not RatioMetric,B7037_18A,Strain,
P-0463-0-CHAN-4,DT_DOUBLE,none,3409,-0.002563,-0.002499,,0,{NULL},1,0,ExcitationOn,1,"P-0463,0,CHAN-4",0,Not RatioMetric,P-0463-0-CHAN-4,Unknown,
B7060_18A,DT_DOUBLE,ue,3409,-0.336945,4.272797,,0,{NULL},103720,0,ExcitationOn,64,"P-0448,0,CHAN-1",-470.833252,Not RatioMetric,B7060_18A,Strain,
B4524_18A,DT_DOUBLE,ue,3409,-0.334076,1.327087,,0,{NULL},108120,0,ExcitationOn,64,"P-0448,0,CHAN-2",-399.762207,Not RatioMetric,B4524_18A,Strain,
B5410_18A,DT_DOUBLE,ue,3409,-0.380318,2.658875,,0,{NULL},106080,0,ExcitationOn,64,"P-0448,0,CHAN-3",123.463806,Not RatioMetric,B5410_18A,Strain,
B4531_18A,DT_DOUBLE,ue,3409,-0.410889,5.32843,,0,{NULL},108920,0,ExcitationOn,64,"P-0448,0,CHAN-4",-614.881165,Not RatioMetric,B4531_18A,Strain,
B7039_18A,DT_DOUBLE,ue,3409,-0.032928,21.39621,,0,{NULL},102620,0,ExcitationOn,64,"IW4-0626,0,CHAN-1",-366.500183,Not RatioMetric,B7039_18A,Strain,
B7056_18A,DT_DOUBLE,ue,3409,-0.782181,22.899147,,0,{NULL},102920,0,ExcitationOn,64,"IW4-0626,0,CHAN-2",-146.55661,Not RatioMetric,B7056_18A,Strain,
B5406_18A,DT_DOUBLE,ue,3409,-0.573967,24.161728,,0,{NULL},106560,0,ExcitationOn,64,"IW4-0626,0,CHAN-3",-102.190453,Not RatioMetric,B5406_18A,Strain,
B5395_18A,DT_DOUBLE,ue,3409,-0.450184,22.928131,,0,{NULL},108400,0,ExcitationOn,64,"IW4-0626,0,CHAN-4",-54.4259,Not RatioMetric,B5395_18A,Strain,
B6192_18A,DT_DOUBLE,ue,3409,-4.003082,0.055191,,0,{NULL},104960,0,ExcitationOn,64,"IW4-0623,0,CHAN-1",-217.738251,Not RatioMetric,B6192_18A,Strain,
B6190_18A,DT_DOUBLE,ue,3409,-0.39645,14.117287,,0,{NULL},114400,0,ExcitationOn,64,"IW4-0623,0,CHAN-2",49.972572,Not RatioMetric,B6190_18A,Strain,
B7035_18A,DT_DOUBLE,ue,3409,-1.701859,9.384827,,0,{NULL},102560,0,ExcitationOn,64,"IW4-0623,0,CHAN-3",-107.829262,Not RatioMetric,B7035_18A,Strain,
B7059_18A,DT_DOUBLE,ue,3409,-0.480537,21.791351,,0,{NULL},104280,0,ExcitationOn,64,"IW4-0623,0,CHAN-4",103.623276,Not RatioMetric,B7059_18A,Strain,
B7046_18A,DT_DOUBLE,ue,3409,-0.309883,6.129734,,0,{NULL},102880,0,ExcitationOn,64,"IW4-0625,0,CHAN-1",32.83506,Not RatioMetric,B7046_18A,Strain,
B7032_18A,DT_DOUBLE,ue,3409,-0.319218,2.026218,,0,{NULL},100720,0,ExcitationOn,64,"IW4-0625,0,CHAN-2",-23.502476,Not RatioMetric,B7032_18A,Strain,
B5382_18A,DT_DOUBLE,ue,3409,-0.625198,0.247452,,0,{NULL},104320,0,ExcitationOn,64,"IW4-0625,0,CHAN-3",182.708298,Not RatioMetric,B5382_18A,Strain,
B6191_18A,DT_DOUBLE,ue,3409,-0.255076,2.117593,,0,{NULL},107720,0,ExcitationOn,64,"IW4-0625,0,CHAN-4",5.335738,Not RatioMetric,B6191_18A,Strain,
B6182_18A,DT_DOUBLE,ue,3409,-0.498959,11.300838,,0,{NULL},107160,0,ExcitationOn,64,"IW4-0634,0,CHAN-1",-21.890532,Not RatioMetric,B6182_18A,Strain,
B5401_18A,DT_DOUBLE,ue,3409,-0.467316,13.432709,,0,{NULL},105780,0,ExcitationOn,64,"IW4-0634,0,CHAN-2",138.826309,Not RatioMetric,B5401_18A,Strain,
B7062_18A,DT_DOUBLE,ue,3409,-2.252258,11.085022,,0,{NULL},105000,0,ExcitationOn,64,"IW4-0634,0,CHAN-3",-564.794922,Not RatioMetric,B7062_18A,Strain,
B7029_18A,DT_DOUBLE,ue,3409,-0.525238,5.747185,,0,{NULL},101400,0,ExcitationOn,64,"IW4-0634,0,CHAN-4",97.707054,Not RatioMetric,B7029_18A,Strain,
