Root Name,Title,Author,Date/Time,Groups,Description,ActualStartTime,DATAFILENAME,DATAFILEPATH,LOCATION,PROJECTNAME,PROJECTSTARTDATE,SampleRate_s_s_,TDMS_FileType,TestDuration_s_,,,,
PonkaConcreteBridge_R1_07_25_2019_09_55_40,PonkaConcretBridge,Dr Linzell Team,,1,Short description of what the test is all about.,07/25/2019 09:55:42.740 AM,C:\STS_UserData\Data\July_2019\25\PonkaConcreteBridge_R1_07_25_2019_09_55_40.tdms,C:\STS_UserData\Data,Ponak Omaha,PonkaConcreteBridge,9:43:14.942 AM7/25/2019,100,LiveloadData,1200,,,,
,,,,,,,,,,,,,,,,,,
Group,Channels,Description,GroupName,SampleRate_s_s_,,,,,,,,,,,,,,
Sensors_Started @ 09:55:41.024,33,,Sensors,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sensors_Started @ 09:55:41.024,,,,,,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ArrayColumn,Attributes,CalFactor,CalOffset,ExcitationMode,Gain,Location,Offset,RatioMetric_,SensorName,Type,Start Index
Time,DT_DOUBLE,s,17290,,,,0,,,,,,,,,,,
B7030_18A,DT_DOUBLE,ue,17290,-1.713577,12.414391,,0,{NULL},103720,0,ExcitationOn,64,"P-0463,0,CHAN-1",-122.953041,Not RatioMetric,B7030_18A,Strain,
B4520_18A,DT_DOUBLE,ue,17290,-1.144958,16.039856,,0,{NULL},107760,0,ExcitationOn,64,"P-0463,0,CHAN-2",-570.617554,Not RatioMetric,B4520_18A,Strain,
B7037_18A,DT_DOUBLE,ue,17290,-1.596063,13.797071,,0,{NULL},103460,0,ExcitationOn,64,"P-0463,0,CHAN-3",14.541988,Not RatioMetric,B7037_18A,Strain,
P-0463-0-CHAN-4,DT_DOUBLE,none,17290,-0.002564,-0.00248,,0,{NULL},1,0,ExcitationOn,1,"P-0463,0,CHAN-4",0,Not RatioMetric,P-0463-0-CHAN-4,Unknown,
B7060_18A,DT_DOUBLE,ue,17290,-1.195068,3.411011,,0,{NULL},103720,0,ExcitationOn,64,"P-0448,0,CHAN-1",-460.005707,Not RatioMetric,B7060_18A,Strain,
B4524_18A,DT_DOUBLE,ue,17290,-1.406403,0.557404,,0,{NULL},108120,0,ExcitationOn,64,"P-0448,0,CHAN-2",-388.240173,Not RatioMetric,B4524_18A,Strain,
B5410_18A,DT_DOUBLE,ue,17290,-1.190781,1.921371,,0,{NULL},106080,0,ExcitationOn,64,"P-0448,0,CHAN-3",134.351654,Not RatioMetric,B5410_18A,Strain,
B4531_18A,DT_DOUBLE,ue,17290,-1.407288,4.667114,,0,{NULL},108920,0,ExcitationOn,64,"P-0448,0,CHAN-4",-603.505249,Not RatioMetric,B4531_18A,Strain,
B7039_18A,DT_DOUBLE,ue,17290,-11.158386,10.370239,,0,{NULL},102620,0,ExcitationOn,64,"IW4-0626,0,CHAN-1",-678.68457,Not RatioMetric,B7039_18A,Strain,
B7056_18A,DT_DOUBLE,ue,17290,-0.471039,24.471718,,0,{NULL},102920,0,ExcitationOn,64,"IW4-0626,0,CHAN-2",-136.357513,Not RatioMetric,B7056_18A,Strain,
B5406_18A,DT_DOUBLE,ue,17290,-0.347946,24.646629,,0,{NULL},106560,0,ExcitationOn,64,"IW4-0626,0,CHAN-3",-92.800179,Not RatioMetric,B5406_18A,Strain,
B5395_18A,DT_DOUBLE,ue,17290,-0.319698,24.207563,,0,{NULL},108400,0,ExcitationOn,64,"IW4-0626,0,CHAN-4",-44.091667,Not RatioMetric,B5395_18A,Strain,
B6192_18A,DT_DOUBLE,ue,17290,-4.676147,0.065948,,0,{NULL},104960,0,ExcitationOn,64,"IW4-0623,0,CHAN-1",-209.587845,Not RatioMetric,B6192_18A,Strain,
B6190_18A,DT_DOUBLE,ue,17290,-0.43848,13.790833,,0,{NULL},114400,0,ExcitationOn,64,"IW4-0623,0,CHAN-2",62.252945,Not RatioMetric,B6190_18A,Strain,
B7035_18A,DT_DOUBLE,ue,17290,-0.493958,8.706436,,0,{NULL},102560,0,ExcitationOn,64,"IW4-0623,0,CHAN-3",-102.098152,Not RatioMetric,B7035_18A,Strain,
B7059_18A,DT_DOUBLE,ue,17290,-0.479904,21.253632,,0,{NULL},104280,0,ExcitationOn,64,"IW4-0623,0,CHAN-4",115.387909,Not RatioMetric,B7059_18A,Strain,
B7046_18A,DT_DOUBLE,ue,17290,-0.11068,6.175732,,0,{NULL},102880,0,ExcitationOn,64,"IW4-0625,0,CHAN-1",39.098576,Not RatioMetric,B7046_18A,Strain,
B7032_18A,DT_DOUBLE,ue,17290,-0.068516,2.303073,,0,{NULL},100720,0,ExcitationOn,64,"IW4-0625,0,CHAN-2",-16.398279,Not RatioMetric,B7032_18A,Strain,
B5382_18A,DT_DOUBLE,ue,17290,-1.11911,1.215393,,0,{NULL},104320,0,ExcitationOn,64,"IW4-0625,0,CHAN-3",192.746017,Not RatioMetric,B5382_18A,Strain,
B6191_18A,DT_DOUBLE,ue,17290,-0.081541,2.291127,,0,{NULL},107720,0,ExcitationOn,64,"IW4-0625,0,CHAN-4",11.957589,Not RatioMetric,B6191_18A,Strain,
B6182_18A,DT_DOUBLE,ue,17290,-0.474907,12.702084,,0,{NULL},107160,0,ExcitationOn,64,"IW4-0634,0,CHAN-1",-16.869101,Not RatioMetric,B6182_18A,Strain,
B5401_18A,DT_DOUBLE,ue,17290,-0.328949,13.074783,,0,{NULL},105780,0,ExcitationOn,64,"IW4-0634,0,CHAN-2",145.871094,Not RatioMetric,B5401_18A,Strain,
B7062_18A,DT_DOUBLE,ue,17290,-2.085022,12.614624,,0,{NULL},105000,0,ExcitationOn,64,"IW4-0634,0,CHAN-3",-557.724609,Not RatioMetric,B7062_18A,Strain,
B7029_18A,DT_DOUBLE,ue,17290,-0.525543,6.957726,,0,{NULL},101400,0,ExcitationOn,64,"IW4-0634,0,CHAN-4",106.2696,Not RatioMetric,B7029_18A,Strain,
B7031_18A,DT_DOUBLE,ue,17290,-0.709511,11.949966,,0,{NULL},101760,0,ExcitationOn,64,"IW4-0636,0,CHAN-1",74.628922,Not RatioMetric,B7031_18A,Strain,
B5412_18A,DT_DOUBLE,ue,17290,-0.617996,9.602409,,0,{NULL},106300,0,ExcitationOn,64,"IW4-0636,0,CHAN-2",120.711586,Not RatioMetric,B5412_18A,Strain,
B7042_18A,DT_DOUBLE,ue,17290,-5.533844,0.046509,,0,{NULL},102140,0,ExcitationOn,64,"IW4-0636,0,CHAN-3",-45.684227,Not RatioMetric,B7042_18A,Strain,
B4523_18A,DT_DOUBLE,ue,17290,-0.647156,9.141968,,0,{NULL},111720,0,ExcitationOn,64,"IW4-0636,0,CHAN-4",-578.808838,Not RatioMetric,B4523_18A,Strain,
B6178_18A,DT_DOUBLE,ue,17290,-1.587585,11.535736,,0,{NULL},108440,0,ExcitationOn,64,"IW4-0627,0,CHAN-1",-287.294922,Not RatioMetric,B6178_18A,Strain,
B5381_18A,DT_DOUBLE,ue,17290,-2.014671,7.287907,,0,{NULL},106840,0,ExcitationOn,64,"IW4-0627,0,CHAN-2",-36.396179,Not RatioMetric,B5381_18A,Strain,
IW4-0627-0-CHAN-3,DT_DOUBLE,none,17290,-0.00312,-0.003059,,0,{NULL},1,0,ExcitationOn,1,"IW4-0627,0,CHAN-3",0,Not RatioMetric,IW4-0627-0-CHAN-3,Unknown,
IW4-0627-0-CHAN-4,DT_DOUBLE,none,17290,-0.002385,-0.002321,,0,{NULL},1,0,ExcitationOn,1,"IW4-0627,0,CHAN-4",0,Not RatioMetric,IW4-0627-0-CHAN-4,Unknown,
