Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,B7039_18A,B7056_18A,B5406_18A,B5395_18A,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.01,-0.022653478,0.01934861,-0.033889556,-0.002557872,-0.007067964,-0.022083312,-0.004161806,-0.030604239,-0.052227714,-0.00207323,0.025005398,-0.022613757,-0.027571933,0.014271598,0.046968999,0.011073629,0.01496101,-0.000454196,-0.011921075,-0.006282901,0.001004765,-0.027878972,0.028352461,0.024921039,-0.017408891,0.032244827,-0.001508337,0.000993208,0.005789953,-0.056211195,-0.003055979,-0.002341096
0.02,-0.030023473,0.011719216,0.044577813,-0.002545842,0.005200102,-0.018268614,-0.001659364,-0.058924551,-0.018261649,0.019914685,0.004901944,-0.025169604,-0.032531039,0.010228019,0.028818669,-0.025799234,0.030769115,-0.005209217,-0.010700371,0.010229016,-0.005323818,-0.006623479,0.01840373,0.016528705,-0.015005632,0.049876358,0.026197809,0.022050337,0.031485754,-0.006978712,-0.003054478,-0.002330588
0.03,-0.031259435,-0.004943382,0.045804239,-0.00252103,0.016216948,0.021312685,-0.035617799,-0.002283926,-0.032818534,-0.020399036,-0.020236911,-0.022613757,-0.007750766,-0.01808085,0.00461823,0.002467672,0.033202892,0.031642666,-0.016864922,0.026741887,0.003537724,0.035872248,-0.001432695,0.01772652,-0.000601335,-0.000500535,0.03462829,0.011491255,-0.041786951,0.028372088,-0.003062735,-0.002317828
0.04,-0.012826818,0.004089821,-0.008142733,-0.002530053,0.002728178,0.040477724,-0.011707277,0.033848886,-0.06676934,-0.016721668,-0.027767124,-0.013656847,-0.008986728,-0.00055613,0.011881413,0.035655539,-0.000843281,0.020944348,-0.021793511,0.015309239,0.017461369,0.015867976,0.024629316,-0.000255963,-0.009008928,-0.047093247,-0.008733374,-0.0004106,-0.040505213,0.008173266,-0.003066489,-0.002328336
0.05,0.000692469,0.011719216,-0.032663131,-0.002553361,-0.024218843,-0.043811827,-0.000400514,0.006749277,-0.034039237,0.021135388,-0.018978061,-0.022613757,-0.002806918,0.015622001,-0.00143188,0.00615267,-0.022732014,0.005489102,-0.005771783,-0.013903712,0.01619489,-0.017884466,0.01840373,-0.02183952,-0.007803483,-0.043316697,-0.017163855,0.019425826,0.017356115,-0.013288221,-0.003067239,-0.002335091
0.06,0.004369838,0.034668435,-0.002012038,-0.002544338,-0.068316744,-0.071887999,-0.026813478,-0.038355704,0.029010079,-0.016721668,-0.001377048,-0.021335833,0.015793546,0.004837851,-0.012319026,-0.017200907,-0.002060169,0.031642666,0.013957832,-0.059630489,-0.000259807,-0.011643621,0.015901289,0.000941852,-0.005400224,-0.050869797,0.02498855,0.014115767,-0.014778894,-0.02086421,-0.003076998,-0.00233284
0.07,0.003133876,0.029602517,0.039673543,-0.002515767,-0.06709604,0.020030946,-0.038135499,-0.049952383,0.019320748,-0.052137317,0.007419644,-0.008537524,-0.012709872,-0.009993691,0.003405156,-0.012287577,0.025905376,0.012622586,-0.011921075,-0.036767101,-0.004059246,0.00837591,0.041963301,-0.02663078,-0.036619707,-0.026944016,0.026197809,-0.06492476,-0.013497156,-0.005716047,-0.003081502,-0.002339595
0.08,-0.000543492,0.023193825,0.037221646,-0.002517271,0.007672026,0.03535077,-0.054485292,-0.008753653,-0.008572318,-0.016721668,-0.016460361,-0.011097186,-0.011458652,-0.031558175,0.002199712,0.002467672,0.011314159,-0.009964237,-0.031650689,0.008958722,0.011130879,0.020872859,0.024629316,-0.081783673,-0.033018632,0.020907547,0.006929773,-0.075483842,0.004508215,0.01574544,-0.003070242,-0.00233284
0.09,0.008062465,0.07177781,0.034769273,-0.002534564,0.037090971,-0.006794005,-0.04316327,0.058262949,0.004763863,-0.009397449,-0.002635898,-0.016216509,0.002152188,-0.031558175,0.005823674,0.003703634,-0.015434498,0.030454388,-0.03781524,0.028011227,-0.014185359,0.00837591,-0.01876668,-0.014645001,-0.011404558,0.017130996,0.017767328,-0.006941362,-0.017372888,0.004385271,-0.003052226,-0.002315576
0.1,0.019109828,0.050049294,0.031090951,-0.002528549,-0.005816744,0.004711122,-0.020511598,0.076329355,-0.008572318,-0.032606067,0.021244107,0.008094556,-0.013945834,-0.014033456,0.000994267,-0.007366617,-0.009357685,0.023320904,-0.060001519,0.049604321,-0.028109004,0.003371028,-0.023771563,0.044101337,-0.034216447,-0.015606736,0.011743921,-0.014875932,0.023764807,0.003122606,-0.003050725,-0.002317828
