Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,IW4-0626-0-CHAN-1,IW4-0626-0-CHAN-2,IW4-0626-0-CHAN-3,IW4-0626-0-CHAN-4,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.01,0.009752909,0.056104718,-0.007356351,-0.002521782,0.009344159,0.042371808,0.037235607,0.012974595,,,,,0.030213541,0.034695924,-0.010338797,-0.003935458,0.004983521,0.010661785,-0.011332703,-0.01527192,0.008072853,0.012010075,0.010780687,-0.018319291,0.010908485,0.022883939,0.022588744,-0.015052738,-0.026703585,0.036005988,-0.003083003,-0.002341096
0.02,0.03923289,0.030530987,0.014712626,-0.002525541,0.027746258,0.074293194,0.009563793,-0.0024673,,,,,0.002976603,0.040089906,-0.004288688,0.035394071,0.003766632,0.008285229,-0.002711487,-0.016541261,0.032122612,0.022019841,-0.000388747,0.015250045,0.002500893,0.019107388,0.006925597,0.03902441,0.009246122,0.02464582,-0.003063486,-0.002341096
0.03,0.013445536,0.001173077,0.01226073,-0.002527045,0.001989422,0.065351544,0.030941356,-0.005030777,,,,,0.036408609,0.034695924,-0.067208304,0.029252408,-0.012037659,-0.022623356,0.031803894,0.024104338,-0.013445854,-0.009230159,0.012062425,0.006857711,0.031317116,0.009036588,0.045469298,0.03108984,0.05425955,0.042319312,-0.003058982,-0.002341847
0.04,-0.011136373,0.031873761,-0.01348657,-0.00253306,-0.01146883,0.035993634,0.042263378,-0.003749038,,,,,0.015366739,0.025258363,-0.041787162,-0.013769748,-0.00717392,-0.001224811,0.010853577,0.008861762,-0.017245293,-0.017973445,0.026893968,-0.006341142,0.075735451,0.019107388,0.051492705,0.042991696,0.056792509,0.036005988,-0.003075497,-0.002335842
0.05,-0.014813741,0.066358624,-0.01839084,-0.002531556,0.021612225,0.051313458,0.015850414,-0.006312515,,,,,-0.021803671,0.038739503,0.048949227,-0.008856418,0.011064148,0.030870144,0.021946716,0.003780585,0.019465446,-0.014235042,0.003334398,0.012839156,0.013304115,0.034221219,0.034631743,0.102256832,0.031096708,0.02464582,-0.003064987,-0.002327585
0.06,-0.008679708,0.010145245,0.002452189,-0.002527045,0.047338544,0.066633282,0.033459057,-0.006312515,,,,,-0.001982504,0.014474214,0.018691049,-0.001471164,0.013497925,0.035627072,0.0811203,0.027914267,-0.00458622,-0.031736873,0.002113694,0.01164897,-0.03111422,0.000209378,0.051492705,0.097007809,0.011840116,0.063780799,-0.003057481,-0.002331338
0.07,0.014666239,-0.01158327,0.038007552,-0.00252103,0.038732586,0.006635724,0.06491505,0.012974595,,,,,0.010407633,0.018521608,-0.024857535,0.020646451,0.019578552,0.022550289,0.049061584,-0.003839273,-0.043826103,-0.051741145,0.025673265,-0.007531327,0.016905189,0.010295438,0.024995818,0.044273434,0.009246122,0.086504951,-0.003081502,-0.00233359
0.08,0.010973612,0.044630108,0.056398684,-0.002512007,0.030157147,-0.012529315,0.035976757,0.012974595,,,,,0.016587442,0.06165439,0.02232264,0.034173368,0.020791626,0.013040249,0.018254089,-0.036864061,-0.038762093,-0.059233211,0.023231858,-0.021920366,0.037321449,0.066958951,-0.014749513,0.011314449,0.025969755,0.043581977,-0.003087507,-0.002330588
0.09,-0.007443746,0.0510388,0.042911822,-0.002514263,0.03995329,0.047468243,0.009563793,0.005284165,,,,,0.025254435,0.031998933,0.045317636,0.016953824,-0.016901398,0.003530209,0.058934021,-2.93438E-05,-0.009648323,-0.034239314,0.010780687,-0.036301774,0.039717079,0.0556293,0.020177856,0.020530758,0.043944608,0.014548316,-0.003078499,-0.0023456
0.1,0.02940623,-0.006456317,0.022068793,-0.00252103,0.013006268,0.030897198,0.020878185,0.024632309,,,,,0.005448526,0.029305757,-0.013970389,0.026788114,-0.030275726,-0.014301593,0.026875305,0.024104338,0.020730019,-0.000486873,0.033119554,-0.026719255,0.021711708,0.022883939,0.04065515,0.028465328,0.020812284,0.043581977,-0.003078499,-0.002357609
