Time,A2147,B5401_18A,B7049_18A,B6182_18A,P-0463-0-CHAN-1,B7048_18A,B7052_18A,B6181_18A,B6876_18B,B7030_18A,B4531_18A,B5397_18A,A2148,A2149,B7033_18A,B6191_18A,IW4-0624-0-CHAN-1,B4520_18A,B7060_18A,B6190_18A,B7035_18A,B7042_18A,B5395_18A,B7051_18A,B7039_18A,B5410_18A,B7032_18A,B5382_18A,IW4-0634-0-CHAN-1,B5406_18A,B7054_18A,B5381_18A,A2146_18A,B7031_18A,B6192_18A,B5404_18A
0.01,3.25033E-05,0.006417256,0.060631672,0.006054594,-0.00207145,-0.006682425,0.051804167,0.035453045,-0.010813939,0.005662292,0.053852576,0.035654083,3.87293E-05,-5.28355E-05,0.058390494,0.031805169,-0.001549772,0.030156026,0.009045725,-0.033314334,0.045875258,0.036904488,0.024608059,0.024543587,0.014668938,0.025744576,0.039849551,-0.062438266,-0.003208349,0.028703413,0.039662135,0.050508339,-1.94657E-05,0.053395531,0.043912056,0.014571493
0.02,2.68185E-05,0.052773457,0.065545002,0.01493521,-0.002055677,-0.000578909,0.009491545,-0.004593647,0.023609889,-0.022627503,0.064106483,-0.00980185,3.30445E-05,-3.63982E-06,0.009280081,0.033075464,-0.001546772,0.01611794,0.037274484,-0.000946627,0.005763716,0.01281086,0.013080044,-0.015075858,-0.007227424,0.028254647,0.043420107,-0.050139682,-0.003200099,-0.006559649,0.048207057,0.051774818,4.84985E-05,0.023351929,0.046401384,0.017073935
0.03,6.47172E-05,0.041497689,0.042229572,0.077068999,-0.002039905,0.052094431,0.007065397,-0.033959186,0.022389186,-0.000471741,0.073139686,-0.01471518,8.04227E-05,-1.74737E-06,0.005595083,-0.025392401,-0.001555023,0.012303243,0.029912119,0.031421079,0.013053603,-0.013708915,0.033572597,-0.019882377,-0.032755379,0.034522195,0.021981509,-0.021758334,-0.003209099,-0.01914815,0.025044216,-0.008863609,-1.37995E-05,-0.025919177,0.001593548,0.019576376
0.04,0.000167044,-0.017387408,0.018929401,0.071972563,-0.002048918,0.041047067,0.033669096,0.030112469,-0.004649388,0.038895935,0.026875037,0.03442575,2.16712E-05,-5.85115E-05,0.011732931,0.007654321,-0.001570776,0.021244894,0.015187387,0.008494748,0.039798445,0.010384713,0.033572597,-0.000671561,-0.040064339,0.014464517,0.001733096,-0.010680453,-0.003215099,0.004777632,0.007954372,-0.031599205,-4.02342E-05,-0.029524543,-0.032012326,0.027085608
0.05,1.73437E-05,-0.038685817,0.01769344,0.033947661,-0.002063188,-0.034819632,0.051804167,0.12221452,-0.014476048,0.020463317,0.019123572,0.028284087,-9.58282E-05,5.88002E-05,0.016646261,0.057222497,-0.001577527,0.017430196,0.023778085,-0.025223361,0.042228408,0.050164376,0.020770473,0.020942513,-0.018167976,0.011958261,-0.001837461,0.015198453,-0.003206099,0.018632612,0.017719997,0.011354286,6.73783E-05,0.002922318,-0.004629773,0.047108954
0.06,-0.000158885,0.005164605,0.02260677,0.041561796,-0.002060935,-0.004241019,0.036079985,0.123542034,-0.002207982,-0.025099427,0.048725623,0.001256957,-0.000143203,5.50158E-05,0.054709311,0.014009607,-0.001567025,-0.010676493,-0.003222342,-0.003643618,0.037364669,0.04293171,0.022052212,0.007736031,0.006154534,0.014464517,-0.004217832,0.017700894,-0.003201599,0.036256514,0.026234401,0.034089882,7.49257E-05,0.028158925,0.015284824,0.014571493
0.07,-5.39551E-06,0.033980351,0.025048176,0.07578726,-0.002051922,0.044709177,0.045761686,0.05680772,0.012562526,-0.018934876,0.033283729,0.047937408,-0.000109094,3.92857E-06,0.033835287,-0.001241553,-0.001560274,0.004612813,-0.027766104,0.017932309,0.016700453,0.034493599,0.048945827,-0.00787371,-0.014521126,-0.0131043,0.005288393,-0.004515903,-0.003203099,0.008561811,0.05308987,0.011354286,8.85025E-06,0.025755666,-0.014587057,-0.017965967
0.08,9.6931E-05,0.022704583,0.028740803,0.07578726,-0.002055677,-0.000578909,0.051804167,0.040785992,0.046986354,0.01060614,0.041035194,0.057767883,1.03016E-05,-2.6345E-05,0.009280081,0.039430749,-0.001561775,0.035282979,-0.00689971,0.001750364,-0.006393724,0.005578194,0.051509304,0.020942513,-0.015741829,-0.001828055,0.004113467,-0.01437308,-0.003196349,-0.011595049,0.055500759,0.006288368,3.71736E-05,0.023351929,-0.00960843,0.012067145
0.09,3.6293E-05,0.02896927,0.010323444,0.05424185,-0.002062437,-0.014006644,0.001022917,0.058142864,0.078968776,-0.000471741,0.080830115,0.008626952,1.78788E-05,-5.47271E-05,0.039973135,0.029260766,-0.001561024,0.004612813,0.01150239,0.017932309,-0.005176835,-0.012503471,0.016925258,0.017341439,-0.002359871,0.047053475,0.00054291,0.000427945,-0.00318885,0.016114912,0.009175075,0.032823402,2.39526E-05,0.008931182,0.027731436,0.014571493
0.1,1.16589E-05,0.007670384,-0.042426189,0.050442412,-0.002066192,0.009247751,0.001022917,0.007422649,0.034718288,0.027818054,0.096210975,0.015996948,-2.38146E-05,1.33894E-05,0.022784109,0.019094598,-0.001561024,-0.011988749,-0.010584707,0.03411807,-0.03435164,0.010384713,0.009242458,-0.013878043,-0.014521126,0.042040963,0.018410952,0.039856656,-0.003203099,0.018632612,-0.012767064,0.040391762,-5.91065E-05,-0.00909517,0.032710093,0.032090491
