Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,0.009602633,0.030949217,-0.006189404,0.011699792,0.018856151,-0.032712281,0.010719823,0.026218502,0.014667016,0.01387832,0.020979845,0.031048695,0.000789758,0.022117384,0.019851222,0.035771457,-7.20199E-05,-0.052506649,0.001707597,0.008533825,0.008577536,0.03742154,-0.028614365,0.070354083,-0.00136524,-0.000955303,-0.053558583,-0.000846176,0.010000055,0.008557753,0.02190561,-0.019294797,0.042435386,0.023763021,-0.000102192,-3.39128E-06,3.42965E-05,0.013374878,0.034753164,0.040394176
0.02,0.003285495,0.010265928,0.008474292,-0.026447181,0.036825282,0.009981811,0.005714941,0.000705806,0.008655053,-0.006673362,-0.028260267,0.020002762,-0.001682166,0.005393751,-0.009048924,0.035771457,-6.25688E-05,-0.013352596,0.011442705,0.062092174,0.048128317,0.047309235,-0.0310634,0.050685504,-0.00136299,-0.000959058,0.00852943,-0.000847677,-0.003595526,0.006146864,-0.009588531,0.00267023,0.039932945,0.034016927,6.45987E-05,7.43928E-05,-1.10514E-05,0.024658752,0.051675161,0.012104381
0.03,-0.032053861,-0.035960573,-0.006189404,-0.017810706,0.0308343,-0.007077516,0.001930761,0.010425655,-0.019001502,0.009043191,-0.007325209,0.037185589,0.010616418,0.002952344,0.006606593,0.033391086,-7.74747E-06,-0.012131893,0.022398515,0.043827404,0.027742575,0.08441861,-0.005375229,0.027370074,-0.001360739,-0.000944037,-0.010483021,-0.000860441,-0.017191107,-0.016649766,0.004876801,0.014877262,0.003586509,0.007130941,1.72148E-05,2.88604E-05,-2.99461E-05,-0.014209198,0.061349233,0.008076061
0.04,-0.018168363,-0.009196657,-0.028879223,0.064571496,-0.001508611,-0.070493043,-0.008017969,0.040790645,0.020678979,0.061026071,0.01851555,0.031048695,-0.01889408,-0.007850878,0.055999293,0.036961642,0.000109456,-0.013352596,0.021177812,0.017048229,0.007295798,0.059638336,0.02766005,0.024928668,-0.001360739,-0.000947042,-0.032028431,-0.000862694,-0.023370916,-0.015444322,0.027948091,0.001449527,-0.042739175,-0.027445475,-6.997E-05,-9.08353E-06,2.1068E-05,0.00710733,0.025079091,0.051166881
0.05,0.027272311,0.007832151,0.003148975,0.064571496,-0.014686483,-0.093655885,-0.020530177,0.031070797,0.057948571,0.054981683,-0.007325209,-0.029090961,0.013057824,0.056907423,0.015044704,0.016667453,9.62226E-05,0.009901798,0.04186873,0.019474376,0.009859274,0.016303375,0.021541275,0.022472003,-0.00136674,-0.000955303,-0.009216542,-0.000861192,-0.003595526,-0.00224547,-0.001165679,-0.002212582,-0.032729409,0.00197347,-7.42424E-06,9.88751E-06,5.50836E-05,0.053497864,0.01538976,0.051166881
0.06,0.010884372,-0.009196657,0.023153247,0.001857873,-0.002706426,-0.042447389,-0.018027735,0.014064876,0.025485497,0.022341226,-0.015954054,-0.032773098,0.026607629,0.078452833,-0.036774144,-0.006037625,-1.71995E-05,0.002547062,0.062590166,0.009739269,0.018770407,0.03375943,-0.027386032,-0.000858685,-0.00136299,-0.000946291,0.019927746,-0.0008687,0.033483332,-0.004641099,-0.026556304,-0.009529172,0.023636558,0.032735189,5.13329E-05,4.02924E-07,2.86266E-05,-0.024241852,0.028695424,0.032307018
0.07,-0.015635404,0.023647886,-0.004861889,-0.010440711,-0.013488668,0.000216186,0.014442968,0.026218502,0.009860497,0.01025245,-0.011017836,0.023684898,-0.009036902,0.040061719,-0.011475072,0.008305636,-2.09797E-05,-0.012131893,0.06744246,-0.017024647,0.018770407,0.044867829,-0.042064987,0.000377276,-0.001356238,-0.000949295,0.03259254,-0.00086795,0.02606756,0.015759902,-0.007147124,-0.014411984,0.058731773,0.025044759,7.73956E-06,-0.000100148,1.72906E-05,-0.068122315,0.012978872,0.048481334
0.08,-0.003031644,0.018780333,-0.020868359,-0.000614051,0.002084834,0.006350219,0.026955175,0.005565731,0.012256127,-0.018762137,0.017287218,0.045777241,0.005703088,0.061668165,0.013839259,0.016667453,1.87179E-05,-0.007218563,0.063810869,-0.006084095,-0.009305765,0.01019986,0.023990311,0.001613238,-0.00136599,-0.00096056,0.016113048,-0.00085894,-0.017191107,0.042172865,0.010980317,-0.000991879,0.044968345,0.016072591,-3.63375E-06,-0.000119121,5.95451E-06,-0.010447907,0.003304799,0.04979359
0.09,0.013386813,-0.034747499,-0.024881421,0.001857873,0.029636485,0.017306029,0.004433202,-0.022373112,0.006251794,-0.009089972,0.05052849,0.015093246,0.003261682,0.065269239,0.012633815,-0.001276883,5.6525E-05,0.000105656,0.073545976,0.023136486,0.004732321,0.026313141,0.042346634,-0.014362714,-0.001368991,-0.000956054,0.011062389,-0.000852933,-0.009775335,0.034970717,0.00615854,-0.009529172,0.013626792,-0.019755046,4.37501E-05,3.64488E-05,-3.37236E-05,-0.012954163,0.008141836,0.04173695
0.1,0.02476987,-0.01041736,-0.007532178,0.017833825,0.023645503,-0.007077516,0.003212499,0.00191888,0.027888757,0.023550485,0.027144396,-0.002089104,-0.010288123,0.00893379,0.009017482,-0.013209256,7.35384E-05,0.008681095,0.037016435,4.16149E-06,0.012361716,0.076972321,-0.018825851,0.012660602,-0.001350987,-0.000949295,0.011062389,-0.000844674,0.001348322,-0.010653062,-0.004766753,-0.002212582,0.00987313,-0.042795817,8.92377E-05,7.43928E-05,-3.56123E-05,-0.005435395,0.02748998,0.02421986
