Root Name,Title,Author,Date/Time,Groups,Description,ActualStartTime,DATAFILENAME,DATAFILEPATH,LOCATION,PROJECTNAME,PROJECTSTARTDATE,SampleRate_s_s_,TDMS_FileType,TestDuration_s_,,,,
WaterLoo steelBridge_R52_07_25_2019_15_34_49,WaterLooSteelBridge,Dr Linzell Team,,1,Short description of what the test is all about.,07/25/2019 03:34:51.046 PM,C:\STS_UserData\Data\July_2019\25\WaterLoo steelBridge_R52_07_25_2019_15_34_49.tdms,C:\STS_UserData\Data,WaterLoo,WaterLoo steelBridge,1:14:48.841 PM7/25/2019,100,LiveloadData,1200,,,,
,,,,,,,,,,,,,,,,,,
Group,Channels,Description,GroupName,SampleRate_s_s_,,,,,,,,,,,,,,
Sensors_Started @ 15:34:49.212,41,,Sensors,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sensors_Started @ 15:34:49.212,,,,,,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ArrayColumn,Attributes,CalFactor,CalOffset,ExcitationMode,Gain,Location,Offset,RatioMetric_,SensorName,Type,Start Index
Time,DT_DOUBLE,s,961,,,,0,,,,,,,,,,,
B5408_18A,DT_DOUBLE,ue,961,-1.457001,78.095306,,0,{NULL},106520,0,ExcitationOn,64,"IW4-0627,0,CHAN-1",-391.311951,Not RatioMetric,B5408_18A,Strain,
B7057_18A,DT_DOUBLE,ue,961,-1.7117,59.777527,,0,{NULL},102960,0,ExcitationOn,64,"IW4-0627,0,CHAN-2",-91.973488,Not RatioMetric,B7057_18A,Strain,
B6181_18A,DT_DOUBLE,ue,961,-4.154343,19.983719,,0,{NULL},112800,0,ExcitationOn,64,"IW4-0627,0,CHAN-3",-168.863678,Not RatioMetric,B6181_18A,Strain,
B5397_18A,DT_DOUBLE,ue,961,-2.180038,30.338364,,0,{NULL},104080,0,ExcitationOn,64,"IW4-0627,0,CHAN-4",-224.960388,Not RatioMetric,B5397_18A,Strain,
B7036_18A,DT_DOUBLE,ue,961,-3.65638,62.987305,,0,{NULL},101400,0,ExcitationOn,64,"P-0448,0,CHAN-1",27.598366,Not RatioMetric,B7036_18A,Strain,
B7048_18A,DT_DOUBLE,ue,961,-1.698334,95.341583,,0,{NULL},103240,0,ExcitationOn,64,"P-0448,0,CHAN-2",448.403534,Not RatioMetric,B7048_18A,Strain,
B4546_18A,DT_DOUBLE,ue,961,-2.287231,43.653259,,0,{NULL},105460,0,ExcitationOn,64,"P-0448,0,CHAN-3",600.836487,Not RatioMetric,B4546_18A,Strain,
B7040_18A,DT_DOUBLE,ue,961,-1.47496,59.473228,,0,{NULL},102680,0,ExcitationOn,64,"P-0448,0,CHAN-4",-85.524986,Not RatioMetric,B7040_18A,Strain,
B7050_18A,DT_DOUBLE,ue,961,-2.167992,129.034088,,0,{NULL},101920,0,ExcitationOn,64,"IW4-0629,0,CHAN-1",-72.654503,Not RatioMetric,B7050_18A,Strain,
B7052_18A,DT_DOUBLE,ue,961,-3.623671,68.307503,,0,{NULL},102020,0,ExcitationOn,64,"IW4-0629,0,CHAN-2",17.114845,Not RatioMetric,B7052_18A,Strain,
B7038_18A,DT_DOUBLE,ue,961,-6.814903,72.160294,,0,{NULL},104360,0,ExcitationOn,64,"IW4-0629,0,CHAN-3",101.15477,Not RatioMetric,B7038_18A,Strain,
B7049_18A,DT_DOUBLE,ue,961,-1.815967,116.847,,0,{NULL},103680,0,ExcitationOn,64,"IW4-0629,0,CHAN-4",2.672651,Not RatioMetric,B7049_18A,Strain,
B7033_18A,DT_DOUBLE,ue,961,-1.725525,14.005341,,0,{NULL},104120,0,ExcitationOn,64,"IW4-0623,0,CHAN-1",-288.07959,Not RatioMetric,B7033_18A,Strain,
B7034_18A,DT_DOUBLE,ue,961,-0.587036,0.669495,,0,{NULL},101660,0,ExcitationOn,64,"IW4-0623,0,CHAN-2",-599.327454,Not RatioMetric,B7034_18A,Strain,
B7053_18A,DT_DOUBLE,ue,961,-1.882416,21.877655,,0,{NULL},102120,0,ExcitationOn,64,"IW4-0623,0,CHAN-3",-193.096756,Not RatioMetric,B7053_18A,Strain,
B7041_18A,DT_DOUBLE,ue,961,-2.228607,12.725006,,0,{NULL},101380,0,ExcitationOn,64,"IW4-0623,0,CHAN-4",-404.593842,Not RatioMetric,B7041_18A,Strain,
A2149,DT_DOUBLE,g,961,-0.003953,0.004155,,0,{NULL},2.5188,0,ExcitationOn,1,"IW4-0626,0,CHAN-1",-0.00889,Not RatioMetric,A2149,Accelerometer,
B7044_18A,DT_DOUBLE,ue,961,-1.382904,66.637573,,0,{NULL},103120,0,ExcitationOn,64,"IW4-0626,0,CHAN-2",308.119354,Not RatioMetric,B7044_18A,Strain,
B7058_18A,DT_DOUBLE,ue,961,-1.660492,100.64534,,0,{NULL},103240,0,ExcitationOn,64,"IW4-0626,0,CHAN-3",-315.501434,Not RatioMetric,B7058_18A,Strain,
B7047_18A,DT_DOUBLE,ue,961,-3.40033,75.727188,,0,{NULL},103120,0,ExcitationOn,64,"IW4-0626,0,CHAN-4",-130.313492,Not RatioMetric,B7047_18A,Strain,
B4541_18A,DT_DOUBLE,ue,961,-1.544189,36.148071,,0,{NULL},108040,0,ExcitationOn,64,"IW4-0625,0,CHAN-1",513.729431,Not RatioMetric,B4541_18A,Strain,
B4526_18A,DT_DOUBLE,ue,961,-1.673096,20.485474,,0,{NULL},104860,0,ExcitationOn,64,"IW4-0625,0,CHAN-2",-1603.38916,Not RatioMetric,B4526_18A,Strain,
B7061_18A,DT_DOUBLE,ue,961,-1.131523,51.525436,,0,{NULL},103540,0,ExcitationOn,64,"IW4-0625,0,CHAN-3",-124.926865,Not RatioMetric,B7061_18A,Strain,
B6876_18B,DT_DOUBLE,ue,961,-1.676086,7.937546,,0,{NULL},104100,0,ExcitationOn,64,"IW4-0625,0,CHAN-4",-256.162415,Not RatioMetric,B6876_18B,Strain,
IW4-0624-0-CHAN-1,DT_DOUBLE,none,961,-0.001387,-0.001344,,0,{NULL},1,0,ExcitationOn,1,"IW4-0624,0,CHAN-1",0,Not RatioMetric,IW4-0624-0-CHAN-1,Unknown,
IW4-0624-0-CHAN-2,DT_DOUBLE,none,961,-0.000981,-0.000931,,0,{NULL},1,0,ExcitationOn,1,"IW4-0624,0,CHAN-2",0,Not RatioMetric,IW4-0624-0-CHAN-2,Unknown,
B5411_18A,DT_DOUBLE,ue,961,-2.426743,8.617905,,0,{NULL},107080,0,ExcitationOn,64,"IW4-0624,0,CHAN-3",168.162445,Not RatioMetric,B5411_18A,Strain,
IW4-0624-0-CHAN-4,DT_DOUBLE,none,961,-0.000881,-0.000836,,0,{NULL},1,0,ExcitationOn,1,"IW4-0624,0,CHAN-4",0,Not RatioMetric,IW4-0624-0-CHAN-4,Unknown,
B7045_18A,DT_DOUBLE,ue,961,-2.004532,120.268929,,0,{NULL},104640,0,ExcitationOn,64,"IW4-0634,0,CHAN-1",-151.941071,Not RatioMetric,B7045_18A,Strain,
B7051_18A,DT_DOUBLE,ue,961,-2.980637,79.600342,,0,{NULL},101580,0,ExcitationOn,64,"IW4-0634,0,CHAN-2",184.331024,Not RatioMetric,B7051_18A,Strain,
B7043_18A,DT_DOUBLE,ue,961,-4.483215,76.872742,,0,{NULL},102500,0,ExcitationOn,64,"IW4-0634,0,CHAN-3",-523.513916,Not RatioMetric,B7043_18A,Strain,
B7054_18A,DT_DOUBLE,ue,961,-1.416565,66.362183,,0,{NULL},103200,0,ExcitationOn,64,"IW4-0634,0,CHAN-4",-91.79232,Not RatioMetric,B7054_18A,Strain,
B5398_18A,DT_DOUBLE,ue,961,-1.372253,71.775269,,0,{NULL},106200,0,ExcitationOn,64,"IW4-0636,0,CHAN-1",-379.663544,Not RatioMetric,B5398_18A,Strain,
B4535_18A,DT_DOUBLE,ue,961,-4.075226,73.593506,,0,{NULL},108060,0,ExcitationOn,64,"IW4-0636,0,CHAN-2",-407.609314,Not RatioMetric,B4535_18A,Strain,
A2148,DT_DOUBLE,g,961,-0.007457,0.005441,,0,{NULL},2.5252,0,ExcitationOn,1,"IW4-0636,0,CHAN-3",-0.027306,Not RatioMetric,A2148,Accelerometer,
A2147,DT_DOUBLE,g,961,-0.004716,0.006167,,0,{NULL},2.528,0,ExcitationOn,1,"IW4-0636,0,CHAN-4",-0.018368,Not RatioMetric,A2147,Accelerometer,
A2146_18A,DT_DOUBLE,g,961,-0.008877,0.005946,,0,{NULL},2.5157,0,ExcitationOn,1,"P-0463,0,CHAN-1",-0.039046,Not RatioMetric,A2146_18A,Accelerometer,
B5404_18A,DT_DOUBLE,ue,961,-1.706003,45.692635,,0,{NULL},105780,0,ExcitationOn,64,"P-0463,0,CHAN-2",30.856354,Not RatioMetric,B5404_18A,Strain,
B7055_18A,DT_DOUBLE,ue,961,-2.22818,52.168961,,0,{NULL},102040,0,ExcitationOn,64,"P-0463,0,CHAN-3",-162.378021,Not RatioMetric,B7055_18A,Strain,
B5384_18A,DT_DOUBLE,ue,961,-1.841614,41.474609,,0,{NULL},113800,0,ExcitationOn,64,"P-0463,0,CHAN-4",-323.28653,Not RatioMetric,B5384_18A,Strain,
